customer_id,age,income,tenure_months,current_plan,monthly_spend,data_usage_gb,call_minutes,sms_count,has_streaming,has_international,has_device_insurance,previous_upsell_response,channel_preference,responded
CUST_000001,47,48297,21,Standard,76.76,5.18,90,87,0,1,0,0,App notification,0
CUST_000002,40,39079,72,Standard,69.66,5.93,143,76,0,0,1,1,Email,0
CUST_000003,49,45362,11,Standard,81.9,13.43,411,79,0,0,1,1,Email,0
CUST_000004,60,67617,5,Basic,32.18,15.38,181,93,0,0,0,0,Email,0
CUST_000005,39,87119,37,Basic,33.95,12.2,314,62,1,0,0,0,Email,0
CUST_000006,39,63368,23,Standard,72.8,7.74,314,78,0,0,0,0,App notification,1
CUST_000007,60,51316,57,Basic,45.96,5.47,417,64,1,0,0,0,Email,0
CUST_000008,51,96192,2,Basic,44.44,11.56,166,71,0,0,0,0,App notification,0
CUST_000009,36,42583,55,Standard,75.76,7.43,53,84,0,1,0,0,Email,1
CUST_000010,48,77957,10,Premium,100.69,11.68,310,90,1,0,0,0,Direct mail,0
CUST_000011,36,43060,31,Basic,31.31,7.62,95,69,0,0,1,0,SMS,0
CUST_000012,36,59513,1,Basic,40.0,8.39,429,88,1,0,1,1,SMS,1
CUST_000013,44,46578,28,Premium,106.12,10.12,239,73,1,0,0,0,Email,0
CUST_000014,19,47804,37,Premium,107.16,11.37,205,84,0,1,1,0,App notification,0
CUST_000015,21,41364,13,Standard,82.69,19.06,370,87,0,0,0,0,Direct mail,0
CUST_000016,35,89785,7,Basic,52.7,9.43,86,75,0,1,0,0,Email,0
CUST_000017,29,35248,23,Standard,75.33,12.23,217,93,1,0,0,0,App notification,0
CUST_000018,45,35132,53,Standard,72.22,27.52,320,85,1,0,0,1,App notification,0
CUST_000019,31,127318,11,Basic,40.66,16.12,285,84,1,0,0,0,SMS,0
CUST_000020,25,76117,8,Standard,61.46,19.74,182,75,1,0,0,0,Email,0
CUST_000021,59,25000,9,Standard,58.03,5.79,184,71,1,0,0,1,Email,0
CUST_000022,39,38011,89,Standard,63.05,5.98,618,89,0,0,0,0,Direct mail,0
CUST_000023,42,25000,13,Standard,69.57,7.61,423,94,0,0,0,0,SMS,0
CUST_000024,24,31958,1,Standard,58.45,8.4,164,88,1,0,1,1,Email,0
CUST_000025,35,25000,45,Standard,71.7,16.64,550,77,1,1,0,0,Direct mail,0
CUST_000026,43,46090,36,Standard,68.06,6.28,385,92,0,0,1,0,Email,0
CUST_000027,28,29322,4,Basic,41.03,8.12,328,67,1,0,1,0,App notification,0
CUST_000028,46,50360,120,Standard,81.62,17.69,336,63,0,0,0,0,Email,0
CUST_000029,34,25000,28,Standard,45.39,9.59,123,78,0,0,0,0,App notification,0
CUST_000030,38,50884,20,Premium,106.16,9.37,604,80,0,0,1,0,App notification,0
CUST_000031,34,40671,14,Standard,46.48,10.36,433,73,1,0,1,0,SMS,0
CUST_000032,64,96363,68,Basic,47.39,7.21,283,97,0,0,0,1,SMS,0
CUST_000033,41,92513,8,Premium,117.62,7.02,283,82,1,0,1,0,SMS,0
CUST_000034,29,69801,10,Standard,56.49,5.22,232,84,0,1,0,0,Direct mail,0
CUST_000035,51,42320,3,Premium,97.77,10.23,174,68,1,0,0,0,Email,0
CUST_000036,27,119781,42,Basic,28.02,18.85,337,71,0,0,0,0,Direct mail,1
CUST_000037,44,25000,27,Basic,45.64,13.63,152,73,0,0,1,0,SMS,0
CUST_000038,18,26066,28,Basic,41.59,17.5,268,92,0,0,0,0,Email,1
CUST_000039,26,47207,7,Premium,107.21,22.34,259,72,1,0,0,0,SMS,0
CUST_000040,44,135173,31,Premium,106.32,13.58,308,74,0,1,0,1,Email,0
CUST_000041,50,44754,43,Standard,60.26,8.85,430,67,1,0,0,0,SMS,0
CUST_000042,44,45140,13,Basic,56.32,22.57,312,78,1,0,0,0,App notification,0
CUST_000043,40,25620,48,Basic,47.72,5.55,371,82,0,0,0,0,SMS,0
CUST_000044,38,75031,12,Standard,58.15,6.24,76,80,0,0,1,0,Email,0
CUST_000045,24,75276,42,Standard,62.99,8.84,323,92,0,0,0,0,SMS,0
CUST_000046,33,69918,1,Standard,61.28,8.17,256,85,0,0,0,0,App notification,1
CUST_000047,36,36932,24,Basic,59.06,9.12,306,76,1,1,1,0,Email,0
CUST_000048,54,35667,104,Standard,77.11,5.5,178,94,0,0,0,0,App notification,1
CUST_000049,46,27394,119,Basic,43.74,10.67,488,90,0,0,0,0,App notification,0
CUST_000050,20,50906,9,Standard,87.07,7.0,284,78,0,1,0,0,Email,1
CUST_000051,45,30146,17,Standard,84.52,18.66,157,77,0,0,1,0,Direct mail,0
CUST_000052,37,28858,1,Premium,107.69,4.36,174,76,0,0,0,0,Email,0
CUST_000053,33,40511,61,Standard,65.89,8.32,421,69,0,0,0,0,SMS,1
CUST_000054,49,39335,25,Standard,66.38,7.42,232,97,0,0,0,0,Direct mail,0
CUST_000055,54,38480,14,Basic,35.47,10.22,244,79,0,0,0,0,Email,0
CUST_000056,53,60469,3,Premium,127.34,16.55,217,69,1,0,1,1,App notification,0
CUST_000057,31,50795,87,Basic,34.94,10.93,449,79,1,1,1,0,Email,0
CUST_000058,38,43059,22,Basic,53.68,8.48,327,84,1,0,1,0,SMS,0
CUST_000059,45,53228,9,Premium,116.91,14.12,120,90,1,0,0,0,App notification,0
CUST_000060,53,31376,12,Standard,66.95,14.59,136,88,1,0,0,0,SMS,0
CUST_000061,36,51399,9,Standard,88.1,10.98,245,83,0,0,1,0,Email,0
CUST_000062,39,52458,27,Basic,29.41,11.79,166,67,0,0,0,0,Email,0
CUST_000063,28,25000,79,Premium,109.2,12.62,67,68,0,0,0,0,SMS,0
CUST_000064,27,76731,58,Basic,40.11,5.41,156,73,1,0,0,0,Email,0
CUST_000065,51,32970,18,Basic,54.61,7.1,207,74,1,1,0,0,SMS,0
CUST_000066,58,51054,52,Basic,48.54,11.66,192,82,0,0,0,1,App notification,0
CUST_000067,41,82783,16,Basic,27.73,9.34,377,81,0,0,0,0,SMS,0
CUST_000068,54,74351,8,Premium,122.39,9.01,64,92,0,0,0,0,Email,0
