decile,n_customers,n_responders,avg_prob,response_rate,cumulative_responders,cumulative_response_pct,expected_revenue
0,159,60,0.3655676854384787,0.3774,60,0.3158,900.1
1,161,33,0.23478073619112394,0.205,93,0.4895,495.07
2,159,27,0.17219970912931618,0.1698,120,0.6316,404.97
3,161,28,0.12704740321908675,0.1739,148,0.7789,419.97
4,160,16,0.10042157686302451,0.1,164,0.8632,240.0
5,157,9,0.0814125570909997,0.0573,173,0.9105,134.94
6,135,5,0.05833055310345363,0.037,178,0.9368,74.92
7,186,7,0.0439706078392753,0.0376,185,0.9737,104.9
8,162,3,0.027088615812027397,0.0185,188,0.9895,44.96
9,160,2,0.01219105078310606,0.0125,190,1.0,30.0
